        Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,"""VOLVO GROUP INDIA PVT LTD""",0,0,31,12,0,0,0,0,0,0
3W,3EV INDUSTRIES PVT LTD,0,0,0,0,0,0,112,390,545,51
2W,3GB TECHNOLOGY PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,3GB TECHNOLOGY PVT LTD,0,1,1,0,0,0,0,0,0,0
3W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,48,66,43,68,266,578
LMV,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,1,0,0,0,0
3W,A P I MOTORS PVT LTD,0,0,0,2,28,14,20,93,279,146
3W,A.V.AUTOMOTIVES PVT LTD,0,0,33,280,452,256,677,1451,1309,674
2W,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,2
3W,AADITYA EMOTORS INDIA PVT LTD,0,1,471,179,10,0,0,0,0,0
LMV,AADITYA EMOTORS INDIA PVT LTD,0,0,2,6,0,0,0,0,0,0
3W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,10,34,4
LMV,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,AAHANA COMMERCE PVT LTD,0,0,0,0,0,61,202,309,918,1194
3W,AAKK AUTO PVT LTD,0,0,0,0,0,0,0,0,0,16
3W,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,ABHAVIS TECHNOLOGY (I) PVT LTD,0,0,1,0,0,0,0,0,0,0
2W,ABZO MOTORS PVT LTD,0,0,0,0,0,0,0,0,12,48
3W,ADAPT MOTORS PVT LTD,0,0,0,0,6,2,1,3,4,1
LMV,ADAPT MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,ADIDEV TECHNOA PVT LTD,0,0,0,0,8,14,34,168,689,927
3W,ADITYA AGRO INDUSTRIES,0,2,17,3,0,0,1,0,0,0
3W,ADITYA SAI INDUSTRIES,0,39,187,176,296,75,53,129,179,152
LMV,ADITYA SAI INDUSTRIES,0,0,2,2,0,0,0,0,0,0
2W,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,65,226,61,8
2W,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,0,1,8,186,138,34
3W,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,2,2,1,1,0,2
3W,AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,33,190,109
3W,AKASH AGRO INDUSTRIES,0,0,0,0,1,0,0,0,0,0
3W,AKSMD RECHARGEABLE VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,ALBEDO VISION PVT LTD,0,0,0,15,6,15,0,14,39,4
3W,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,0,59,131
3W,ALLFINE INDUSTRIES PVT LTD,0,2,239,763,1737,1180,2370,5884,10743,6317
LMV,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,0
3W,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,177,308,381,1626,2517,1804
LMV,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0
3W,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,3,144,699,2512,939
LMV,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,0,2,0,7,6
2W,ALTIUS EV TECH PVT LTD,0,0,0,0,0,0,0,67,37,14
3W,AMBIKA INDUSTRIES,0,0,0,0,427,656,981,1159,1910,1060
2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,1497,1574,80
2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,1196,4522,12470,79857,42903,857
2W,AMPERE VEHICLES PVT LTD,31,0,0,0,6,153,315,2390,8,0
3W,AMPERE VEHICLES PVT LTD,0,0,44,0,0,0,0,0,0,0
3W,ANOOP CYLINDERS PVT LTD,0,0,0,0,0,0,0,0,0,8
3W,APARNA INDUSTRIES,0,10,93,182,190,83,96,86,87,30
3W,API MOTORS PVT LTD,0,0,5,0,0,0,0,0,0,0
3W,ARMAN GREEN VEHICLES PVT LTD,0,5,195,214,99,41,31,14,0,0
3W,ARNA ELECTRIC AUTO PVT LTD,0,0,29,331,308,185,373,344,590,76
3W,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,ASHLESHA POWER CONTROLS PVT LTD,0,0,0,0,0,0,0,0,6,2
3W,ASHMA-MOTORS PVT LTD,0,0,0,0,0,0,0,0,294,828
3W,ASTER AUTOMOTIVE PVT LTD,0,0,0,7,0,0,0,2,0,0
2W,ATHER ENERGY PVT LTD,0,0,0,24,2291,3052,15930,51808,104735,58547
3W,ATLAS COPCO INDIA LTD,0,0,0,2,0,0,0,0,0,0
2W,ATOMEX E-MOTORS INDIA PVT LTD,0,0,0,0,0,2,17,3,1,0
3W,ATR TECHNOSALES PRIVATE LIMITED,0,0,4,9,5,0,0,0,0,0
3W,ATTOLENT AUTO GROUP PVT LTD,0,397,1023,660,492,176,132,456,760,408
3W,ATTOLENT AUTOGROUP PVT LTD,35,1299,190,31,2,12,0,0,0,0
3W,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,127,308
2W,ATUMOBILE PVT LTD,0,0,0,0,0,0,0,0,105,22
3W,AUTOCROLA INDIA LTD,0,0,0,1,0,0,0,0,0,0
3W,AUTOECO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,21,578,524
3W,AUTOHAUS PRIVATE LIMITED,0,0,0,206,329,124,326,485,103,2
3W,AUTOLITE (INDIA) LIMITED,0,0,49,216,571,328,139,64,11,1
3W,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,54,717,517,957,1480,2632,1951
LMV,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,AVON CYCLE LTD INDIA,0,1,17,4,1,3,13,40,10,0
3W,AXCEED INDUSTRIES (OPC) PVT LTD,0,0,0,0,6,0,0,0,0,0
2W,AYAAN ELECTRONIC PVT LTD,0,0,0,0,0,2,0,132,112,25
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,0,0,0,0,0,0,0,4,3
